,Description,Belts,Personal.Injury,Property.Damage,Commercial.License,Commercial.Vehicle,State,VehicleType,Year,Make,Model,Color,Charge,Contributed.To.Accident,Race,Gender,Driver.City,Driver.State,DL.State,Arrest.Type,Violation.Type
19626,DISPLAYING REG PLATE ISSUED FOR OTHER VEHICLE,No,No,No,No,No,MD,02 - Automobile,1994.0,GEO,PRISM,RED,13411g,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
5390,VEH DRIVER GIVING FALSE AND FICTITIOUS NAME TO UNIFORMED POLICE,No,No,No,No,No,MD,02 - Automobile,2015.0,S550,MERZ,BLACK,16112e,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
33636,HEADLIGHTS,No,No,No,No,No,MD,28 - Other,2005.0,ACUR,MDX,SILVER,55,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,SERO
42438,DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,DC,02 - Automobile,2016.0,TOYOTA,CAMRY,GRAY,21707a,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,Warning
6655,KNOWINGLY DRIVING UNINSURED VEHICLE,No,No,No,No,No,MD,02 - Automobile,1996.0,FORD,EXPLORER,WHITE,17107,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
49494,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,Yes,No,MD,02 - Automobile,2005.0,CHEVROLET,EQUINOX,BLACK,21201a1,No,BLACK,M,RIVERDALE,MD,MD,B - Unmarked Patrol,Warning
8050,EXCEEDING MAXIMUM SPEED 80 MPH IN A POSTED 55 MPH ZONE,No,No,No,No,No,NY,02 - Automobile,2012.0,MERZ,SPRINTER VN,WHITE,218011,No,ASIAN,M,NEW YORK,NY,NY,A - Marked Patrol,Citation
2479,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2012.0,TOYOTA,CAMRY,GRAY,13409b,No,WHITE,M,DERWOOD,MD,MD,A - Marked Patrol,Citation
27480,DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2011.0,KIA,TK,RED,2111242d2,No,WHITE,M,OLNEY,MD,MD,A - Marked Patrol,Citation
45904,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2001.0,HOND,4S,SILVER,13401h,No,WHITE,F,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
698,DRIVING OFF ROADWAY WHILE PASSING VEHICLE,No,No,No,No,No,MD,03 - Station Wagon,1997.0,MAZDA,MPV,MAROON,21304c,No,BLACK,F,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
34721,Window Tint,No,No,No,No,No,MD,02 - Automobile,2012.0,ACURA,TSX,BLACK,61,No,WHITE,F,HAGERSTOWN,MD,MD,B - Unmarked Patrol,SERO
48066,DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2007.0,CHEVROLET,TRUCK,WHITE,2111242d2,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
54244,MOTOR VEH WO REQUIRED STOP LAMPS EQUIPMENT,No,No,No,No,No,MD,02 - Automobile,2002.0,FORD,TK,WHITE,22206a,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
2695,DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,Yes,Yes,No,No,No,MD,02 - Automobile,2010.0,MERZ,GL450,SILVER,21310a,Yes,ASIAN,F,SANDY SPRING,MD,MD,A - Marked Patrol,Citation
52591,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2014.0,KIA,4S,BLACK,16112c,No,BLACK,M,CLARKSBURG,MD,MD,A - Marked Patrol,Warning
29235,DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2000.0,CHEV,IMPALA,BLACK,16101a,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
53237,DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,02 - Automobile,2014.0,SUBA,4D,WHITE,21707a,No,HISPANIC,F,NORTH POTOMAC,MD,MD,A - Marked Patrol,Warning
23276,OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,VA,02 - Automobile,2005.0,TOYOTA,PRIUS,BEIGE,224123b,No,OTHER,M,BRISTOW,VA,VA,A - Marked Patrol,Citation
35823,TAILLIGHTS,No,No,No,No,No,MD,02 - Automobile,2007.0,TOYT,4H,BLUE,56,No,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,SERO
45522,EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,No,No,No,No,No,MD,02 - Automobile,2013.0,HYUND,2D,BLACK,218011,No,WHITE,M,NORTH POTOMAC,MD,MD,Q - Marked Laser,Warning
16157,RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,No,Yes,No,No,No,MD,02 - Automobile,2003.0,FORD,VAN,WHITE,219011a,No,HISPANIC,M,GREENBELT,MD,MD,A - Marked Patrol,Citation
19118,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2012.0,MITSUBISHI,GALANT,WHITE,13409b,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
28691,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,1992.0,FORD,F250,RED,16112c,No,HISPANIC,M,GERMANTOWN,MD,XX,A - Marked Patrol,Citation
33519,HEADLIGHTS,No,No,No,No,No,MD,02 - Automobile,2005.0,NISS,4S,SILVER,55,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,SERO
63581,FAILURE TO ATTACH VEH REG PLATES AT FRONT AND REAR,No,No,No,No,No,MD,02 - Automobile,2015.0,HONDA,VAN,GRAY,13411a,No,ASIAN,F,POTOMAC,MD,MD,A - Marked Patrol,Warning
45602,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2013.0,RAM,TK,GRAY,13409b,No,OTHER,M,GERMANTOWN,MD,MD,Q - Marked Laser,Warning
60518,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Yes,No,No,No,No,MD,03 - Station Wagon,2010.0,FORD,CROWN VICTORIA,BLUE,21201a1,No,BLACK,M,GREENBELT,MD,MD,A - Marked Patrol,Warning
37981,DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,No,No,No,No,No,MD,02 - Automobile,2006.0,FORD,FOCUS,GRAY,21502a2,No,WHITE,M,SMITHSBURG,MD,MD,A - Marked Patrol,Warning
43659,OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT,No,No,No,No,No,MD,02 - Automobile,2011.0,TOYOTA,CAMRY,BLACK,224123b,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
53644,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,FL,02 - Automobile,2015.0,LEXUS,RX 350,WHITE,21201a1,No,WHITE,F,BROOKEVILLE,MD,MD,A - Marked Patrol,Warning
29174,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,1996.0,NISS,4S MAXIMA,GOLD,16112c,No,HISPANIC,M,CHEVERLY,MD,MD,A - Marked Patrol,Citation
43427,EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,No,No,No,No,No,MD,02 - Automobile,2015.0,CADI,XTS,BLACK,218011,No,WHITE,M,GAITHERSBURG,MD,MD,Q - Marked Laser,Warning
28312,DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,No,No,No,No,No,MD,02 - Automobile,2000.0,FORD,SU,GOLD,21204b,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
20570,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2004.0,HONDA,ACCORD,BLUE,13409b,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
16023,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2015.0,MAZDA,4 DOOR,WHITE,21201a1,No,ASIAN,M,GAITHERSBURG,MD,MD,B - Unmarked Patrol,Citation
6313,PERMITTING VEH TO BE DRIVEN ON HWY WO CURRENT REGISTRATION VALIDATION TABS ISSUED BY ADM,No,No,No,No,No,MD,02 - Automobile,2003.0,CHEVROLET,BLAZER,TAN,13411e,No,WHITE,M,ARNOLD,MD,MD,A - Marked Patrol,Citation
27663,DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2005.0,CHEV,IMPALA,SILVER,16101a,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
22002,FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,No,No,No,No,No,MD,02 - Automobile,2002.0,NISSAN,SENTRA,BLACK,22203b,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
23001,DISPLAY CAUSE PERMIT TO BE DISPLAYED SUSPENDED LIC,No,No,No,No,No,MD,06 - Heavy Duty Truck,2003.0,FREI,BOX,WHITE,16301e,No,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
43896,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,1999.0,HONDA,ACCORD,GRAY,16112c,No,WHITE,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,Warning
60983,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2008.0,PONTIAC,G6,SILVER,13401h,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
70176,DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,No,No,No,No,No,GA,02 - Automobile,2014.0,FORD,TAURUS,WHITE,21204b,No,HISPANIC,M,BALTIMORE,MD,MD,A - Marked Patrol,Warning
32355,DRIVING VEH ON SIDEWALK AND SIDEWALK AREA WHERE PROHIBITED,No,No,Yes,No,No,MD,02 - Automobile,2011.0,CHEVY,MALIBU,WHITE,211103a,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
5539,OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,No,No,No,No,No,MD,03 - Station Wagon,2007.0,SAAB,SUV,GRAY,22406i1,No,BLACK,M,SUITLAND,MD,MD,A - Marked Patrol,Citation
69490,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2006.0,TOYOTA,4S,GREEN LGT,16112c,No,WHITE,F,KENSINGTON,MD,MD,A - Marked Patrol,Warning
38815,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2005.0,CHEV,VAN,WHITE,13401h,No,WHITE,M,SILVER SPRING,SC,SC,A - Marked Patrol,Warning
5104,DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,No,No,No,No,No,MD,02 - Automobile,2016.0,HONDA,CRV,BLACK,21902a2,No,BLACK,M,BETHESDA,MD,MD,A - Marked Patrol,Citation
70283,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,PA,02 - Automobile,2015.0,TOYT,PRIUS,SILVER,21201a1,No,WHITE,M,MT HOLLY SPGS,PA,PA,A - Marked Patrol,Warning
7994,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,1999.0,TOYO,CAMRY,RED,16112c,No,BLACK,F,LAUREL,MD,MD,A - Marked Patrol,Citation
67544,DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,02 - Automobile,2016.0,MAZDA,CX5,GRAY,13411f,No,ASIAN,F,COLUMBIA,MD,MD,A - Marked Patrol,Warning
2738,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2006.0,MERCEDES,CLS500,SILVER,13401h,No,BLACK,M,PHILADELPHIA,PA,PA,A - Marked Patrol,Citation
62628,DRIVING IN LEFT TURN LANE LONGER DISTANCE THAN NECESSARY,No,No,No,Yes,No,MD,02 - Automobile,2015.0,TOYOTA,SIENNA,BLUE,21309h,No,ASIAN,M,KENSINGTON,MD,MD,A - Marked Patrol,Warning
25199,OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,MD,02 - Automobile,1999.0,CHRY,VN,GRAY,224123b,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
8110,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2006.0,DODGE,CARAVAN,SILVER,13409b,No,OTHER,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
18071,DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,No,No,No,No,No,MD,02 - Automobile,2006.0,HONDA,CIVIC,SILVER,13411d,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
67180,OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,No,No,No,No,No,MD,02 - Automobile,2010.0,FORD,FOCUS,GREEN,13401b1,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
55671,DRIVE ACROSS PRIVATE PROPERTY LEAVE THE ROADWAY FOR THE PURPOSE OF AVOIDING TRAFFIC CONTROL DEVICE,No,No,No,No,No,MD,02 - Automobile,1996.0,DODGE,4S,GREEN,21201a2,No,WHITE,F,MONROVIA,MD,MD,A - Marked Patrol,Warning
52239,EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,No,No,No,No,No,MD,02 - Automobile,2005.0,ACURA,RSX,SILVER,218011,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
48043,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2004.0,HONDA,ELEMENT,GRAY,13409b,No,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
60315,DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,No,No,No,No,No,MD,02 - Automobile,2009.0,TOYT,4S,SILVER,21204b,No,WHITE,F,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
56565,EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,No,No,No,No,No,CA,02 - Automobile,2006.0,TOYOTA,SEQUOIA,WHITE,218011,No,BLACK,M,SALISBURY,NC,NC,A - Marked Patrol,Warning
51994,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2013.0,BMW,328I,WHITE,21201a1,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
4737,FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,No,No,No,No,No,MD,02 - Automobile,1996.0,NISSAN,MAXIMA,SILVER,21801b,Yes,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
55062,DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,No,No,No,No,No,MD,03 - Station Wagon,1998.0,SUBARU,LEGACY,WHITE,21202h1,No,OTHER,M,ANNANDALE,VA,VA,A - Marked Patrol,Warning
14565,KNOWINGLY DRIVING UNINSURED VEHICLE,No,No,No,No,No,MD,02 - Automobile,2008.0,BMW,M5,SILVER,17107,No,BLACK,M,UPPER MARLBORO,MD,MD,A - Marked Patrol,Citation
9348,FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,No,No,No,No,No,MD,02 - Automobile,1995.0,NISSAN,SENTRA,SILVER,21301a,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
15087,STOPPING VEH ON HWY OUTSIDE BUSINESS RESIDENTIAL DISTRICT,No,No,No,No,No,FL,02 - Automobile,2014.0,FORD,FOCUS,BLACK,211001a,No,HISPANIC,F,JACKSONVILLE,FL,FL,A - Marked Patrol,Citation
40645,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,05 - Light Duty Truck,2000.0,JEEP,GRAND CHEROKEE,BLUE DARK,13401h,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
19223,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2004.0,BMW,SW 325XI,BLUE DARK,16303d,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
4735,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,No,No,No,No,No,MD,02 - Automobile,2014.0,TOYOTA,CAMRY,GRAY,16303h,No,BLACK,M,RIVERDALE,MD,MD,A - Marked Patrol,Citation
12468,FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,No,No,No,No,No,MD,02 - Automobile,2003.0,HYUN,4D,WHITE,222011,No,BLACK,M,CLARKSBURG,MD,MD,A - Marked Patrol,Citation
6799,DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2002.0,ISUZU,AXIOM,BLUE,16101a,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
47741,OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH DURING REG PERIOD,No,No,No,No,No,MD,02 - Automobile,2013.0,DODGE,CHALLENGER,GRAY,17104,No,BLACK,M,BURTONSVILLE,MD,MD,A - Marked Patrol,Warning
15151,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2014.0,NISS,4D,SILVER,21201a1,No,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
14397,DRIVE ACROSS PRIVATE PROPERTY FOR THE PURPOSE OF AVOIDING TRAFFIC CONTROL DEVICE,Yes,No,No,No,No,MD,02 - Automobile,2017.0,TOYOTA,HIGHLANDER,RED,21201a2,No,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
64741,FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE,No,No,No,No,No,MD,02 - Automobile,2004.0,CHEVROLET,VENTURE,GOLD,224122d,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
35829,Stop Lights,No,No,No,No,No,MD,02 - Automobile,1996.0,TOYOTA,COROLLA,GREEN DK,64,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,SERO
55859,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2014.0,NISS,ROGUE,SILVER,21201a1,No,BLACK,M,BETHESDA,MD,MD,A - Marked Patrol,Warning
59842,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2009.0,CHRY,VN,MAROON,16112c,No,WHITE,F,BRINKLOW,MD,MD,E - Marked Stationary Radar,Warning
23049,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,No,No,No,No,No,MD,02 - Automobile,2007.0,FORD,EXPLORER,WHITE,16303h,No,BLACK,M,LAUREL,MD,MD,A - Marked Patrol,Citation
60374,FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY EMERGENCY POLICE VEH,No,No,No,No,No,MD,02 - Automobile,2008.0,TOYOTA,YARIS,GRAY,21405b,No,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
40810,DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,02 - Automobile,2005.0,TOYOTA,CAMRY,GREEN,21707a,No,ASIAN,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
54203,DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,No,No,No,No,No,MD,02 - Automobile,2005.0,ACUR,TK,BLACK,21202h1,No,BLACK,M,BURTONSVILLE,MD,MD,A - Marked Patrol,Warning
2489,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2000.0,TOYT,4S,BLACK,21201a1,No,WHITE,M,DERWOOD,MD,MD,A - Marked Patrol,Citation
44895,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,01 - Motorcycle,2000.0,CHRY,TOWN AND COUNTR,BLUE,13401h,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
26646,DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,1997.0,DODGE,RAM,GREEN,16101a1,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
27236,EXCEEDING MAXIMUM SPEED 54 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2007.0,VOLV,TK,BLACK,218011,No,ASIAN,M,OLNEY,MD,MD,A - Marked Patrol,Citation
62227,EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,No,No,No,No,No,MD,02 - Automobile,2008.0,DODGE,CALIBER,BLACK,218011,No,HISPANIC,F,GAMBRILLS,MD,MD,Q - Marked Laser,Warning
28940,AGGRESSIVE DRIVING,No,No,No,No,No,VA,02 - Automobile,2002.0,VOLK,4S,RED,219012,No,WHITE,M,S RICHMOND HL,NY,NY,B - Unmarked Patrol,Citation
48013,OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,No,No,No,No,No,MD,02 - Automobile,2002.0,MERZ,C240,SILVER,13401b1,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
13479,DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,No,No,No,No,No,MD,02 - Automobile,1990.0,NISS,240SX,WHITE,21902a1,No,WHITE,M,ADELPHI,MD,MD,A - Marked Patrol,Citation
45243,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,VA,02 - Automobile,2009.0,TOYOTA,COROLLA,GRAY,21201a1,No,OTHER,M,STAFFORD,VA,VA,A - Marked Patrol,Warning
31024,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED,No,No,No,No,No,VA,02 - Automobile,1997.0,FORD,SUV,BLACK,21801a,No,OTHER,M,ASHTON,MD,MD,A - Marked Patrol,Citation
57454,DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,No,No,No,No,No,MD,02 - Automobile,2013.0,HYUN,ACCENT,BLACK,21310a,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
35897,HEADLIGHTS,No,No,No,No,No,MD,02 - Automobile,2007.0,TOYT,HIGHLANDER,SILVER,55,No,OTHER,M,CLARKSBURG,MD,MD,A - Marked Patrol,SERO
57409,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2004.0,HONDA,CIVIC,SILVER,16112c,No,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol,Warning
876,FRAUDULENTLY APPLYING FOR VEH REG,No,No,No,No,No,MD,02 - Automobile,2003.0,NISSAN,MURANO,SILVER,13704b,No,BLACK,F,WOODBRIDGE,VA,VA,A - Marked Patrol,Citation
56014,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,28 - Other,2009.0,HONDA,TK,BLUE,21201a1,No,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol,Warning
43336,FAILURE TO STOP AT STOP SIGN,No,No,No,No,No,MD,02 - Automobile,2010.0,HOND,4S,BLUE,21707a,No,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
11261,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 25,No,No,No,No,No,MD,02 - Automobile,2004.0,VOLKSWAGON,TOUAREG,GREEN,21801a,Yes,BLACK,M,SILVER SPRING,MD,XX,A - Marked Patrol,Citation
11338,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,Yes,No,MD,02 - Automobile,2012.0,HONDA,2S,SILVER,16303c,No,BLACK,M,FREDERICK,MD,MD,A - Marked Patrol,Citation
29899,DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2006.0,NISS,TK,SILVER,16101a,No,BLACK,F,SILVER SPRING,MD,XX,A - Marked Patrol,Citation
55321,FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,No,No,No,No,No,DC,02 - Automobile,2007.0,NISS,MAXIMA,BLACK,22219a,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,Warning
1852,DRIVING WHILE IMPAIRED BY ALCOHOL,No,No,No,No,No,MD,02 - Automobile,1996.0,FORD,EXPLORER,BLUE,21902b1,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
44830,DRIVING VEHICLE IN HOV LANE WHEN NOT AUTHORIZED BY TRAFFIC CONTROL DEVICE,No,No,No,No,No,OH,05 - Light Duty Truck,1994.0,CHEVEROLET,TK,BLUE,21314b,No,WHITE,M,DILLONVALE,OH,OH,A - Marked Patrol,Warning
